execution_index,run_id,pair_id,pair_order,order_in_pair,claim_id,claim_title,claim_text,domain,replicate,condition,enable_causality
11,C6_R2_B_0011,C6_R2,BA,1,C6,Danno cagionato da animale in custodia,"Un cane di grossa taglia, sfuggito dal giardino del proprietario per cancello lasciato aperto, aggredisce un ciclista provocando fratture e danni alla bicicletta. Il proprietario afferma che l’animale era normalmente mansueto e che l’evento è dipeso dall’imprudenza del ciclista, che procedeva a velocità elevata in strada stretta. Il danneggiato chiede risarcimento integrale di danni patrimoniali e non patrimoniali. Si chiede di valutare il titolo di responsabilità applicabile e l’incidenza dell’eventuale concorso del danneggiato.",CIVILE,2,B,true
12,C6_R2_A_0012,C6_R2,BA,2,C6,Danno cagionato da animale in custodia,"Un cane di grossa taglia, sfuggito dal giardino del proprietario per cancello lasciato aperto, aggredisce un ciclista provocando fratture e danni alla bicicletta. Il proprietario afferma che l’animale era normalmente mansueto e che l’evento è dipeso dall’imprudenza del ciclista, che procedeva a velocità elevata in strada stretta. Il danneggiato chiede risarcimento integrale di danni patrimoniali e non patrimoniali. Si chiede di valutare il titolo di responsabilità applicabile e l’incidenza dell’eventuale concorso del danneggiato.",CIVILE,2,A,false
13,C1_R1_B_0013,C1_R1,BA,1,C1,Vizi della cosa venduta e danni da fermo produzione,"Un imprenditore acquista un macchinario industriale per 150.000 euro. Il venditore garantisce per iscritto una capacità produttiva di 500 unità/ora con margine di errore massimo del 2%. Dopo l’installazione, il macchinario produce circa 320 unità/ora e presenta frequenti malfunzionamenti. L’acquirente denuncia subito i vizi e chiede sostituzione o rimedio equivalente, ma il venditore sostiene che il bene rispetta gli standard di mercato e che il problema dipende da uso improprio del personale. L’acquirente ha noleggiato un macchinario sostitutivo per 6 mesi (45.000 euro) e perso commesse per 80.000 euro. Si chiede se ricorrano i presupposti per risoluzione o riduzione del prezzo e per il risarcimento dei danni conseguenti.",CIVILE,1,B,true
14,C1_R1_A_0014,C1_R1,BA,2,C1,Vizi della cosa venduta e danni da fermo produzione,"Un imprenditore acquista un macchinario industriale per 150.000 euro. Il venditore garantisce per iscritto una capacità produttiva di 500 unità/ora con margine di errore massimo del 2%. Dopo l’installazione, il macchinario produce circa 320 unità/ora e presenta frequenti malfunzionamenti. L’acquirente denuncia subito i vizi e chiede sostituzione o rimedio equivalente, ma il venditore sostiene che il bene rispetta gli standard di mercato e che il problema dipende da uso improprio del personale. L’acquirente ha noleggiato un macchinario sostitutivo per 6 mesi (45.000 euro) e perso commesse per 80.000 euro. Si chiede se ricorrano i presupposti per risoluzione o riduzione del prezzo e per il risarcimento dei danni conseguenti.",CIVILE,1,A,false
15,C1_R2_A_0015,C1_R2,AB,1,C1,Vizi della cosa venduta e danni da fermo produzione,"Un imprenditore acquista un macchinario industriale per 150.000 euro. Il venditore garantisce per iscritto una capacità produttiva di 500 unità/ora con margine di errore massimo del 2%. Dopo l’installazione, il macchinario produce circa 320 unità/ora e presenta frequenti malfunzionamenti. L’acquirente denuncia subito i vizi e chiede sostituzione o rimedio equivalente, ma il venditore sostiene che il bene rispetta gli standard di mercato e che il problema dipende da uso improprio del personale. L’acquirente ha noleggiato un macchinario sostitutivo per 6 mesi (45.000 euro) e perso commesse per 80.000 euro. Si chiede se ricorrano i presupposti per risoluzione o riduzione del prezzo e per il risarcimento dei danni conseguenti.",CIVILE,2,A,false
16,C1_R2_B_0016,C1_R2,AB,2,C1,Vizi della cosa venduta e danni da fermo produzione,"Un imprenditore acquista un macchinario industriale per 150.000 euro. Il venditore garantisce per iscritto una capacità produttiva di 500 unità/ora con margine di errore massimo del 2%. Dopo l’installazione, il macchinario produce circa 320 unità/ora e presenta frequenti malfunzionamenti. L’acquirente denuncia subito i vizi e chiede sostituzione o rimedio equivalente, ma il venditore sostiene che il bene rispetta gli standard di mercato e che il problema dipende da uso improprio del personale. L’acquirente ha noleggiato un macchinario sostitutivo per 6 mesi (45.000 euro) e perso commesse per 80.000 euro. Si chiede se ricorrano i presupposti per risoluzione o riduzione del prezzo e per il risarcimento dei danni conseguenti.",CIVILE,2,B,true
17,C2_R2_A_0017,C2_R2,AB,1,C2,"Inadempimento contrattuale, eccezione di inadempimento e risoluzione","Un contratto a prestazioni corrispettive prevedeva esecuzione entro termine essenziale. La parte debitrice ha eseguito con grave ritardo e in modo solo parziale, causando un rilevante pregiudizio economico all’altra parte. Il contraente adempiente ha sospeso il pagamento del corrispettivo, comunicando la volontà di risolvere il contratto e chiedendo il risarcimento, inclusa la perdita di opportunità economiche. La controparte sostiene che il ritardo non sia imputabile e che il danno dedotto sia indiretto e non risarcibile. Si chiede di verificare legittimità della risoluzione, correttezza della sospensione del pagamento e limiti risarcitori.",CIVILE,2,A,false
18,C2_R2_B_0018,C2_R2,AB,2,C2,"Inadempimento contrattuale, eccezione di inadempimento e risoluzione","Un contratto a prestazioni corrispettive prevedeva esecuzione entro termine essenziale. La parte debitrice ha eseguito con grave ritardo e in modo solo parziale, causando un rilevante pregiudizio economico all’altra parte. Il contraente adempiente ha sospeso il pagamento del corrispettivo, comunicando la volontà di risolvere il contratto e chiedendo il risarcimento, inclusa la perdita di opportunità economiche. La controparte sostiene che il ritardo non sia imputabile e che il danno dedotto sia indiretto e non risarcibile. Si chiede di verificare legittimità della risoluzione, correttezza della sospensione del pagamento e limiti risarcitori.",CIVILE,2,B,true
19,C3_R2_B_0019,C3_R2,BA,1,C3,Responsabilità condominiale per infiltrazioni,"Un condomino subisce infiltrazioni nel proprio appartamento con danni a soffitto, pareti e arredi per circa 8.500 euro. Le perizie attribuiscono la causa alla terrazza condominiale di copertura, mal impermeabilizzata. Il condominio eccepisce che la manutenzione straordinaria era stata deliberata ma non eseguita per morosità di alcuni condomini. Il danneggiato chiede risarcimento integrale; l’amministratore sostiene che dovrebbero rispondere i soli morosi. Si chiede di verificare la responsabilità del condominio quale custode, il rapporto con le posizioni individuali dei condomini e l’eventuale riparto del danno.",CIVILE,2,B,true
20,C3_R2_A_0020,C3_R2,BA,2,C3,Responsabilità condominiale per infiltrazioni,"Un condomino subisce infiltrazioni nel proprio appartamento con danni a soffitto, pareti e arredi per circa 8.500 euro. Le perizie attribuiscono la causa alla terrazza condominiale di copertura, mal impermeabilizzata. Il condominio eccepisce che la manutenzione straordinaria era stata deliberata ma non eseguita per morosità di alcuni condomini. Il danneggiato chiede risarcimento integrale; l’amministratore sostiene che dovrebbero rispondere i soli morosi. Si chiede di verificare la responsabilità del condominio quale custode, il rapporto con le posizioni individuali dei condomini e l’eventuale riparto del danno.",CIVILE,2,A,false
21,C5_R2_A_0021,C5_R2,AB,1,C5,Clausola penale e riduzione equitativa,"Una società di logistica stipula un contratto di fornitura con termine essenziale, prevedendo una clausola penale di 8.000 euro per ogni giorno di ritardo. Il fornitore consegna con 12 giorni di ritardo, ma il committente continua ad accettare le forniture e chiede l’integrale pagamento della penale (96.000 euro), oltre al risarcimento di ulteriori danni commerciali. Il fornitore sostiene che la penale è manifestamente eccessiva e che l’inadempimento è stato solo parziale. Si chiede di verificare i limiti di cumulabilità tra penale e risarcimento e la possibilità di riduzione equitativa.",CIVILE,2,A,false
22,C5_R2_B_0022,C5_R2,AB,2,C5,Clausola penale e riduzione equitativa,"Una società di logistica stipula un contratto di fornitura con termine essenziale, prevedendo una clausola penale di 8.000 euro per ogni giorno di ritardo. Il fornitore consegna con 12 giorni di ritardo, ma il committente continua ad accettare le forniture e chiede l’integrale pagamento della penale (96.000 euro), oltre al risarcimento di ulteriori danni commerciali. Il fornitore sostiene che la penale è manifestamente eccessiva e che l’inadempimento è stato solo parziale. Si chiede di verificare i limiti di cumulabilità tra penale e risarcimento e la possibilità di riduzione equitativa.",CIVILE,2,B,true
23,C6_R1_A_0023,C6_R1,AB,1,C6,Danno cagionato da animale in custodia,"Un cane di grossa taglia, sfuggito dal giardino del proprietario per cancello lasciato aperto, aggredisce un ciclista provocando fratture e danni alla bicicletta. Il proprietario afferma che l’animale era normalmente mansueto e che l’evento è dipeso dall’imprudenza del ciclista, che procedeva a velocità elevata in strada stretta. Il danneggiato chiede risarcimento integrale di danni patrimoniali e non patrimoniali. Si chiede di valutare il titolo di responsabilità applicabile e l’incidenza dell’eventuale concorso del danneggiato.",CIVILE,1,A,false
24,C6_R1_B_0024,C6_R1,AB,2,C6,Danno cagionato da animale in custodia,"Un cane di grossa taglia, sfuggito dal giardino del proprietario per cancello lasciato aperto, aggredisce un ciclista provocando fratture e danni alla bicicletta. Il proprietario afferma che l’animale era normalmente mansueto e che l’evento è dipeso dall’imprudenza del ciclista, che procedeva a velocità elevata in strada stretta. Il danneggiato chiede risarcimento integrale di danni patrimoniali e non patrimoniali. Si chiede di valutare il titolo di responsabilità applicabile e l’incidenza dell’eventuale concorso del danneggiato.",CIVILE,1,B,true
25,P1_R1_A_0025,P1_R1,AB,1,P1,Appropriazione indebita o infedele amministrazione,"Durante un controllo contabile in una s.r.l., emerge che l’amministratore unico ha usato 45.000 euro della cassa sociale per debiti personali, sostenendo che fosse un prestito temporaneo deliberato verbalmente (mai verbalizzato). Dopo 8 mesi restituisce l’importo con interessi legali. I soci di minoranza denunciano l’accaduto. Si chiede di verificare la configurabilità del reato di appropriazione indebita e la rilevanza della restituzione successiva e della mancata formalizzazione assembleare.",PENALE,1,A,false
26,P1_R1_B_0026,P1_R1,AB,2,P1,Appropriazione indebita o infedele amministrazione,"Durante un controllo contabile in una s.r.l., emerge che l’amministratore unico ha usato 45.000 euro della cassa sociale per debiti personali, sostenendo che fosse un prestito temporaneo deliberato verbalmente (mai verbalizzato). Dopo 8 mesi restituisce l’importo con interessi legali. I soci di minoranza denunciano l’accaduto. Si chiede di verificare la configurabilità del reato di appropriazione indebita e la rilevanza della restituzione successiva e della mancata formalizzazione assembleare.",PENALE,1,B,true
27,P2_R2_B_0027,P2_R2,BA,1,P2,"Omicidio stradale, colpa e urgenza familiare","Un automobilista percorre un tratto con limite 90 km/h a circa 140 km/h, perde il controllo del veicolo e provoca un incidente mortale. Sostiene di essere in grave stato emotivo per complicazioni nel parto della moglie e di aver viaggiato rapidamente per tornare in ospedale. Le perizie indicano che a velocità regolare l’evento non si sarebbe verificato. Si chiede di verificare la responsabilità penale e l’incidenza dell’urgenza familiare sulla colpa.",PENALE,2,B,true
28,P2_R2_A_0028,P2_R2,BA,2,P2,"Omicidio stradale, colpa e urgenza familiare","Un automobilista percorre un tratto con limite 90 km/h a circa 140 km/h, perde il controllo del veicolo e provoca un incidente mortale. Sostiene di essere in grave stato emotivo per complicazioni nel parto della moglie e di aver viaggiato rapidamente per tornare in ospedale. Le perizie indicano che a velocità regolare l’evento non si sarebbe verificato. Si chiede di verificare la responsabilità penale e l’incidenza dell’urgenza familiare sulla colpa.",PENALE,2,A,false
29,P5_R2_B_0029,P5_R2,BA,1,P5,Furto in abitazione con effrazione notturna,Un soggetto si introduce di notte in un appartamento forzando una finestra e sottrae gioielli e denaro contante. Viene individuato tramite impronte e telecamere condominiali. La difesa sostiene che l’abitazione fosse apparentemente disabitata e che il fatto sarebbe di lieve entità per il valore ridotto di parte dei beni sottratti. Si chiede di qualificare il reato e valutare le circostanze aggravanti applicabili.,PENALE,2,B,true
30,P5_R2_A_0030,P5_R2,BA,2,P5,Furto in abitazione con effrazione notturna,Un soggetto si introduce di notte in un appartamento forzando una finestra e sottrae gioielli e denaro contante. Viene individuato tramite impronte e telecamere condominiali. La difesa sostiene che l’abitazione fosse apparentemente disabitata e che il fatto sarebbe di lieve entità per il valore ridotto di parte dei beni sottratti. Si chiede di qualificare il reato e valutare le circostanze aggravanti applicabili.,PENALE,2,A,false
31,P6_R1_A_0031,P6_R1,AB,1,P6,Lesioni colpose in cantiere e cooperazione nel delitto colposo,"Durante lavori di ristrutturazione, il crollo di un ponteggio provoca gravi lesioni a un operaio. Dalle verifiche emerge che il preposto non aveva imposto l’uso dei dispositivi di sicurezza e che un altro operaio aveva rimosso alcuni elementi di fissaggio per accelerare i tempi. Gli imputati negano la prevedibilità dell’evento e attribuiscono l’accaduto a fatalità. Si chiede di verificare la sussistenza della colpa, del nesso causale e dell’eventuale cooperazione colposa tra più soggetti.",PENALE,1,A,false
32,P6_R1_B_0032,P6_R1,AB,2,P6,Lesioni colpose in cantiere e cooperazione nel delitto colposo,"Durante lavori di ristrutturazione, il crollo di un ponteggio provoca gravi lesioni a un operaio. Dalle verifiche emerge che il preposto non aveva imposto l’uso dei dispositivi di sicurezza e che un altro operaio aveva rimosso alcuni elementi di fissaggio per accelerare i tempi. Gli imputati negano la prevedibilità dell’evento e attribuiscono l’accaduto a fatalità. Si chiede di verificare la sussistenza della colpa, del nesso causale e dell’eventuale cooperazione colposa tra più soggetti.",PENALE,1,B,true
33,P5_R1_B_0033,P5_R1,BA,1,P5,Furto in abitazione con effrazione notturna,Un soggetto si introduce di notte in un appartamento forzando una finestra e sottrae gioielli e denaro contante. Viene individuato tramite impronte e telecamere condominiali. La difesa sostiene che l’abitazione fosse apparentemente disabitata e che il fatto sarebbe di lieve entità per il valore ridotto di parte dei beni sottratti. Si chiede di qualificare il reato e valutare le circostanze aggravanti applicabili.,PENALE,1,B,true
34,P5_R1_A_0034,P5_R1,BA,2,P5,Furto in abitazione con effrazione notturna,Un soggetto si introduce di notte in un appartamento forzando una finestra e sottrae gioielli e denaro contante. Viene individuato tramite impronte e telecamere condominiali. La difesa sostiene che l’abitazione fosse apparentemente disabitata e che il fatto sarebbe di lieve entità per il valore ridotto di parte dei beni sottratti. Si chiede di qualificare il reato e valutare le circostanze aggravanti applicabili.,PENALE,1,A,false
35,P2_R1_B_0035,P2_R1,BA,1,P2,"Omicidio stradale, colpa e urgenza familiare","Un automobilista percorre un tratto con limite 90 km/h a circa 140 km/h, perde il controllo del veicolo e provoca un incidente mortale. Sostiene di essere in grave stato emotivo per complicazioni nel parto della moglie e di aver viaggiato rapidamente per tornare in ospedale. Le perizie indicano che a velocità regolare l’evento non si sarebbe verificato. Si chiede di verificare la responsabilità penale e l’incidenza dell’urgenza familiare sulla colpa.",PENALE,1,B,true
36,P2_R1_A_0036,P2_R1,BA,2,P2,"Omicidio stradale, colpa e urgenza familiare","Un automobilista percorre un tratto con limite 90 km/h a circa 140 km/h, perde il controllo del veicolo e provoca un incidente mortale. Sostiene di essere in grave stato emotivo per complicazioni nel parto della moglie e di aver viaggiato rapidamente per tornare in ospedale. Le perizie indicano che a velocità regolare l’evento non si sarebbe verificato. Si chiede di verificare la responsabilità penale e l’incidenza dell’urgenza familiare sulla colpa.",PENALE,1,A,false
37,P6_R2_A_0037,P6_R2,AB,1,P6,Lesioni colpose in cantiere e cooperazione nel delitto colposo,"Durante lavori di ristrutturazione, il crollo di un ponteggio provoca gravi lesioni a un operaio. Dalle verifiche emerge che il preposto non aveva imposto l’uso dei dispositivi di sicurezza e che un altro operaio aveva rimosso alcuni elementi di fissaggio per accelerare i tempi. Gli imputati negano la prevedibilità dell’evento e attribuiscono l’accaduto a fatalità. Si chiede di verificare la sussistenza della colpa, del nesso causale e dell’eventuale cooperazione colposa tra più soggetti.",PENALE,2,A,false
38,P6_R2_B_0038,P6_R2,AB,2,P6,Lesioni colpose in cantiere e cooperazione nel delitto colposo,"Durante lavori di ristrutturazione, il crollo di un ponteggio provoca gravi lesioni a un operaio. Dalle verifiche emerge che il preposto non aveva imposto l’uso dei dispositivi di sicurezza e che un altro operaio aveva rimosso alcuni elementi di fissaggio per accelerare i tempi. Gli imputati negano la prevedibilità dell’evento e attribuiscono l’accaduto a fatalità. Si chiede di verificare la sussistenza della colpa, del nesso causale e dell’eventuale cooperazione colposa tra più soggetti.",PENALE,2,B,true
39,P3_R2_B_0039,P3_R2,BA,1,P3,Violenza privata vs esercizio arbitrario delle proprie ragioni,"Un proprietario, dopo mesi di morosità dell’inquilino, entra nell’immobile con le proprie chiavi durante assenza del conduttore, cambia la serratura e trasferisce i beni in un box. L’inquilino denuncia violazione di domicilio e violenza privata. Il proprietario invoca autotutela del proprio diritto di credito. Si chiede di verificare la qualificazione penale della condotta e i limiti dell’autotutela privata.",PENALE,2,B,true
40,P3_R2_A_0040,P3_R2,BA,2,P3,Violenza privata vs esercizio arbitrario delle proprie ragioni,"Un proprietario, dopo mesi di morosità dell’inquilino, entra nell’immobile con le proprie chiavi durante assenza del conduttore, cambia la serratura e trasferisce i beni in un box. L’inquilino denuncia violazione di domicilio e violenza privata. Il proprietario invoca autotutela del proprio diritto di credito. Si chiede di verificare la qualificazione penale della condotta e i limiti dell’autotutela privata.",PENALE,2,A,false
41,P4_R2_A_0041,P4_R2,AB,1,P4,Diffamazione aggravata via social,"Un ex dipendente pubblica sui social accuse dettagliate verso l’ex datore (evasione fiscale, sfruttamento, mobbing), con ampia diffusione del post. Il datore presenta querela per diffamazione aggravata. L’autore invoca diritto di critica e verità dei fatti. Si chiede di verificare il bilanciamento tra reputazione e libertà di espressione e la rilevanza del mezzo di diffusione.",PENALE,2,A,false
42,P4_R2_B_0042,P4_R2,AB,2,P4,Diffamazione aggravata via social,"Un ex dipendente pubblica sui social accuse dettagliate verso l’ex datore (evasione fiscale, sfruttamento, mobbing), con ampia diffusione del post. Il datore presenta querela per diffamazione aggravata. L’autore invoca diritto di critica e verità dei fatti. Si chiede di verificare il bilanciamento tra reputazione e libertà di espressione e la rilevanza del mezzo di diffusione.",PENALE,2,B,true
43,P3_R1_A_0043,P3_R1,AB,1,P3,Violenza privata vs esercizio arbitrario delle proprie ragioni,"Un proprietario, dopo mesi di morosità dell’inquilino, entra nell’immobile con le proprie chiavi durante assenza del conduttore, cambia la serratura e trasferisce i beni in un box. L’inquilino denuncia violazione di domicilio e violenza privata. Il proprietario invoca autotutela del proprio diritto di credito. Si chiede di verificare la qualificazione penale della condotta e i limiti dell’autotutela privata.",PENALE,1,A,false
44,P3_R1_B_0044,P3_R1,AB,2,P3,Violenza privata vs esercizio arbitrario delle proprie ragioni,"Un proprietario, dopo mesi di morosità dell’inquilino, entra nell’immobile con le proprie chiavi durante assenza del conduttore, cambia la serratura e trasferisce i beni in un box. L’inquilino denuncia violazione di domicilio e violenza privata. Il proprietario invoca autotutela del proprio diritto di credito. Si chiede di verificare la qualificazione penale della condotta e i limiti dell’autotutela privata.",PENALE,1,B,true
45,P4_R1_B_0045,P4_R1,BA,1,P4,Diffamazione aggravata via social,"Un ex dipendente pubblica sui social accuse dettagliate verso l’ex datore (evasione fiscale, sfruttamento, mobbing), con ampia diffusione del post. Il datore presenta querela per diffamazione aggravata. L’autore invoca diritto di critica e verità dei fatti. Si chiede di verificare il bilanciamento tra reputazione e libertà di espressione e la rilevanza del mezzo di diffusione.",PENALE,1,B,true
46,P4_R1_A_0046,P4_R1,BA,2,P4,Diffamazione aggravata via social,"Un ex dipendente pubblica sui social accuse dettagliate verso l’ex datore (evasione fiscale, sfruttamento, mobbing), con ampia diffusione del post. Il datore presenta querela per diffamazione aggravata. L’autore invoca diritto di critica e verità dei fatti. Si chiede di verificare il bilanciamento tra reputazione e libertà di espressione e la rilevanza del mezzo di diffusione.",PENALE,1,A,false
47,P1_R2_A_0047,P1_R2,AB,1,P1,Appropriazione indebita o infedele amministrazione,"Durante un controllo contabile in una s.r.l., emerge che l’amministratore unico ha usato 45.000 euro della cassa sociale per debiti personali, sostenendo che fosse un prestito temporaneo deliberato verbalmente (mai verbalizzato). Dopo 8 mesi restituisce l’importo con interessi legali. I soci di minoranza denunciano l’accaduto. Si chiede di verificare la configurabilità del reato di appropriazione indebita e la rilevanza della restituzione successiva e della mancata formalizzazione assembleare.",PENALE,2,A,false
48,P1_R2_B_0048,P1_R2,AB,2,P1,Appropriazione indebita o infedele amministrazione,"Durante un controllo contabile in una s.r.l., emerge che l’amministratore unico ha usato 45.000 euro della cassa sociale per debiti personali, sostenendo che fosse un prestito temporaneo deliberato verbalmente (mai verbalizzato). Dopo 8 mesi restituisce l’importo con interessi legali. I soci di minoranza denunciano l’accaduto. Si chiede di verificare la configurabilità del reato di appropriazione indebita e la rilevanza della restituzione successiva e della mancata formalizzazione assembleare.",PENALE,2,B,true
49,A4_R1_B_0049,A4_R1,BA,1,A4,Annullamento d’ufficio tardivo e affidamento,"Una società ottiene titolo favorevole, avvia i lavori e sostiene costi rilevanti. Dopo oltre due anni, l’amministrazione annulla in autotutela con motivazione generica, senza specifica valutazione dell’interesse pubblico attuale e dell’affidamento maturato. Si chiede di verificare i presupposti e i limiti dell’annullamento d’ufficio tardivo.",AMMINISTRATIVO,1,B,true
50,A4_R1_A_0050,A4_R1,BA,2,A4,Annullamento d’ufficio tardivo e affidamento,"Una società ottiene titolo favorevole, avvia i lavori e sostiene costi rilevanti. Dopo oltre due anni, l’amministrazione annulla in autotutela con motivazione generica, senza specifica valutazione dell’interesse pubblico attuale e dell’affidamento maturato. Si chiede di verificare i presupposti e i limiti dell’annullamento d’ufficio tardivo.",AMMINISTRATIVO,1,A,false
51,A1_R1_B_0051,A1_R1,BA,1,A1,Omissione comunicazione di avvio e partecipazione procedimentale,"Un Comune avvia un procedimento di revoca di un’autorizzazione commerciale senza comunicazione di avvio. Il destinatario sostiene che, se avesse partecipato, avrebbe prodotto documenti decisivi su fatti controversi. L’amministrazione replica che il provvedimento era vincolato. Si chiede di valutare la rilevanza dell’omissione partecipativa e l’impatto sul risultato del procedimento.",AMMINISTRATIVO,1,B,true
52,A1_R1_A_0052,A1_R1,BA,2,A1,Omissione comunicazione di avvio e partecipazione procedimentale,"Un Comune avvia un procedimento di revoca di un’autorizzazione commerciale senza comunicazione di avvio. Il destinatario sostiene che, se avesse partecipato, avrebbe prodotto documenti decisivi su fatti controversi. L’amministrazione replica che il provvedimento era vincolato. Si chiede di valutare la rilevanza dell’omissione partecipativa e l’impatto sul risultato del procedimento.",AMMINISTRATIVO,1,A,false
