numero,titolo,contenuto
10-bis,Comunicazione dei motivi ostativi all'accoglimento dell'istanza,"(introdotto dall'art. 6 della legge n. 15 del 2005)
1. Nei procedimenti ad istanza di parte il responsabile del procedimento o l'autorità competente, prima
della formale adozione di un provvedimento negativo, comunica tempestivamente agli istanti i motivi che
ostano all'accoglimento della domanda. Entro il termine di dieci giorni dal ricevimento della comunicazione,
gli istanti hanno il diritto di presentare per iscritto le loro osservazioni, eventualmente corredate da
documenti. La comunicazione di cui al primo periodo interrompe i termini per concludere il procedimento
che iniziano nuovamente a decorrere dalla data di presentazione delle osservazioni o, in mancanza, dalla
scadenza del termine di cui al secondo periodo. Dell'eventuale mancato accoglimento di tali osservazioni è
data ragione nella motivazione del provvedimento finale. Le disposizioni di cui al presente articolo non si
applicano alle procedure concorsuali e ai procedimenti in materia previdenziale e assistenziale sorti a
seguito di istanza di parte e gestiti dagli enti previdenziali. Non possono essere addotti tra i motivi che
ostano all'accoglimento della domanda inadempienze o ritardi attribuibili all'amministrazione.
(comma così modificato dall'art. 9, comma 3, della legge n. 180 del 2011)"
11,Accordi integrativi o sostitutivi del provvedimento,"1. In accoglimento di osservazioni e proposte presentate a norma dell’articolo 10, l’amministrazione
procedente può concludere, senza pregiudizio dei diritti dei terzi, e in ogni caso nel perseguimento del
pubblico interesse, accordi con gli interessati al fine di determinare il contenuto discrezionale del
provvedimento finale ovvero in sostituzione di questo.
(comma così modificato dall'art. 7, comma 1, lettera a), legge n. 15 del 2005)
1-bis. Al fine di favorire la conclusione degli accordi di cui al comma 1, il responsabile del procedimento può
predisporre un calendario di incontri cui invita, separatamente o contestualmente, il destinatario del
provvedimento ed eventuali controinteressati.
(comma introdotto dall'art. 3-quinquies della legge n. 273 del 1995)
2. Gli accordi di cui al presente articolo debbono essere stipulati, a pena di nullità, per atto scritto, salvo che
la legge disponga altrimenti. Ad essi si applicano, ove non diversamente previsto, i princìpi del codice civile
in materia di obbligazioni e contratti in quanto compatibili. Gli accordi di cui al presente articolo devono
essere motivati ai sensi dell’articolo 3.
(comma così modificato dall'art. 1, comma 47, legge n. 190 del 2012)
3. Gli accordi sostitutivi di provvedimenti sono soggetti ai medesimi controlli previsti per questi ultimi.
4. Per sopravvenuti motivi di pubblico interesse l’amministrazione recede unilateralmente dall’accordo,
salvo l’obbligo di provvedere alla liquidazione di un indennizzo in relazione agli eventuali pregiudizi
verificatisi in danno del privato.
4-bis. A garanzia dell'imparzialità e del buon andamento dell'azione amministrativa, in tutti i casi in cui una
pubblica amministrazione conclude accordi nelle ipotesi previste al comma 1, la stipulazione dell'accordo è
preceduta da una determinazione dell'organo che sarebbe competente per l'adozione del provvedimento.
(comma introdotto dall'art. 7, comma 1, lettera b), legge n. 15 del 2005)
5. (comma abrogato dall'Allegato 4, articolo 4, del d.lgs. n. 104 del 2010)"
12,Provvedimenti attributivi di vantaggi economici,"1. La concessione di sovvenzioni, contributi, sussidi ed ausili finanziari e l’attribuzione di vantaggi economici
di qualunque genere a persone ed enti pubblici e privati sono subordinate alla predeterminazione da parte
delle amministrazioni procedenti, nelle forme previste dai rispettivi ordinamenti, dei criteri e delle modalità
cui le amministrazioni stesse devono attenersi.
(comma così modificato dall'art. 42, comma 2, d.lgs. n. 33 del 2013)
2. L’effettiva osservanza dei criteri e delle modalità di cui al comma 1 deve risultare dai singoli
provvedimenti relativi agli interventi di cui al medesimo comma 1."
13,Ambito di applicazione delle norme sulla partecipazione,"1. Le disposizioni contenute nel presente capo non si applicano nei confronti dell’attività della pubblica
amministrazione diretta alla emanazione di atti normativi, amministrativi generali, di pianificazione e di
programmazione, per i quali restano ferme le particolari norme che ne regolano la formazione.
2. Dette disposizioni non si applicano altresì ai procedimenti tributari per i quali restano parimenti ferme le
particolari norme che li regolano."
14,Conferenza di servizi,"(articolo già sostituito dall'art. 9 della legge n. 340 del 2000)
1. Qualora sia opportuno effettuare un esame contestuale di vari interessi pubblici coinvolti in un
procedimento amministrativo, l’amministrazione procedente può indire una conferenza di servizi.
(comma così modificato dall'art. 49, comma 1, legge n. 122 del 2010)
2. La conferenza di servizi è sempre indetta quando l’amministrazione procedente deve acquisire intese,
concerti, nulla osta o assensi comunque denominati di altre amministrazioni pubbliche e non li ottenga,
entro trenta giorni dalla ricezione, da parte dell'amministrazione competente, della relativa richiesta. La
conferenza può essere altresì indetta quando nello stesso termine è intervenuto il dissenso di una o più
amministrazioni interpellate ovvero nei casi in cui è consentito all'amministrazione procedente di
provvedere direttamente in assenza delle determinazioni delle amministrazioni competenti.
(comma così modificato dall'art. 8, comma 1, lettera a), legge n. 15 del 2005, poi dall'art. 49, comma 1,
legge n. 122 del 2010)
3. La conferenza di servizi può essere convocata anche per l’esame contestuale di interessi coinvolti in più
procedimenti amministrativi connessi, riguardanti medesimi attività o risultati. In tal caso, la conferenza è
indetta dall’amministrazione o, previa informale intesa, da una delle amministrazioni che curano l’interesse
pubblico prevalente. L'indizione della conferenza può essere richiesta da qualsiasi altra amministrazione
coinvolta.
(comma così modificato dall'art. 8, comma 1, lettera b), legge n. 15 del 2005)
4. Quando l’attività del privato sia subordinata ad atti di consenso, comunque denominati, di competenza
di più amministrazioni pubbliche, la conferenza di servizi è convocata, anche su richiesta dell’interessato,
dall’amministrazione competente per l’adozione del provvedimento finale.
5. In caso di affidamento di concessione di lavori pubblici la conferenza di servizi è convocata dal
concedente ovvero, con il consenso di quest'ultimo, dal concessionario, entro quindici giorni fatto salvo
quanto previsto dalle leggi regionali in materia di valutazione di impatto ambientale (VIA). Quando la
conferenza è convocata ad istanza del concessionario spetta in ogni caso al concedente il diritto di voto.
(comma così modificato dall'art. 8, comma 1, lettera c), legge n. 15 del 2005)
5-bis. Previo accordo tra le amministrazioni coinvolte, la conferenza di servizi è convocata e svolta
avvalendosi degli strumenti informatici disponibili, secondo i tempi e le modalità stabiliti dalle medesime
amministrazioni.
(comma introdotto dall'art. 8, comma 1, lettera d), legge n. 15 del 2005)"
14-bis,Conferenza di servizi preliminare,"(articolo già sostituito dall'art. 10 della legge n. 340 del 2000)
1. La conferenza di servizi può essere convocata per progetti di particolare complessità e di insediamenti
produttivi di beni e servizi, su motivata richiesta dell'interessato, documentata, in assenza di un progetto
preliminare, da uno studio di fattibilità, prima della presentazione di una istanza o di un progetto definitivi,
al fine di verificare quali siano le condizioni per ottenere, alla loro presentazione, i necessari atti di
consenso. In tale caso la conferenza si pronuncia entro trenta giorni dalla data della richiesta e i relativi
costi sono a carico del richiedente.
(comma così modificato dall'art. 9, comma 1, lettera a), legge n. 15 del 2005)
1-bis. In relazione alle procedure di cui all'articolo 153 del decreto legislativo 12 aprile 2006, n. 163, la
conferenza dei servizi è sempre indetta. La conferenza si esprime sulla base dello studio di fattibilità per le
procedure che prevedono che lo stesso sia posto a base di gara ovvero sulla base del progetto preliminare
per le procedure che prevedono che lo stesso sia posto a base di gara. Le indicazioni fornite in sede di
conferenza possono essere motivatamente modificate o integrate solo in presenza di significativi elementi
emersi nelle fasi successive del procedimento.
(comma introdotto dall'art. 3, comma 1, legge n. 134 del 2012)
2. Nelle procedure di realizzazione di opere pubbliche e di interesse pubblico, la conferenza di servizi si
esprime sul progetto preliminare al fine di indicare quali siano le condizioni per ottenere, sul progetto
definitivo, le intese, i pareri, le concessioni, le autorizzazioni, le licenze, i nullaosta e gli assensi, comunque
denominati, richiesti dalla normativa vigente. In tale sede, le amministrazioni preposte alla tutela
ambientale, paesaggistico-territoriale, del patrimonio storico-artistico o alla tutela della salute e della
pubblica incolumità, si pronunciano, per quanto riguarda l’interesse da ciascuna tutelato, sulle soluzioni
progettuali prescelte. Qualora non emergano, sulla base della documentazione disponibile, elementi
comunque preclusivi della realizzazione del progetto, le suddette amministrazioni indicano, entro
quarantacinque giorni, le condizioni e gli elementi necessari per ottenere, in sede di presentazione del
progetto definitivo, gli atti di consenso.
(comma così modificato dall'art. 9, comma 1, lettera b), legge n. 15 del 2005)
3. Nel caso in cui sia richiesta VIA, la conferenza di servizi si esprime entro trenta giorni dalla conclusione
della fase preliminare di definizione dei contenuti dello studio d’impatto ambientale, secondo quanto
previsto in materia di VIA. Ove tale conclusione non intervenga entro novanta giorni dalla richiesta di cui al
comma 1, la conferenza di servizi si esprime comunque entro i successivi trenta giorni. Nell’ambito di tale
conferenza, l’autorità competente alla VIA si esprime sulle condizioni per la elaborazione del progetto e
dello studio di impatto ambientale. In tale fase, che costituisce parte integrante della procedura di VIA, la
suddetta autorità esamina le principali alternative, compresa l’alternativa zero, e, sulla base della
documentazione disponibile, verifica l’esistenza di eventuali elementi di incompatibilità, anche con
riferimento alla localizzazione prevista dal progetto e, qualora tali elementi non sussistano, indica
nell’ambito della conferenza di servizi le condizioni per ottenere, in sede di presentazione del progetto
definitivo, i necessari atti di consenso.
3-bis. Il dissenso espresso in sede di conferenza preliminare da una amministrazione preposta alla tutela
ambientale, paesaggistico-territoriale, del patrimonio storico-artistico, della salute o della pubblica
incolumità, con riferimento alle opere interregionali, è sottoposto alla disciplina di cui all'articolo 14-quater,
comma 3.
(comma introdotto dall'art. 9, comma 1, lettera c), legge n. 15 del 2005)
4. Nei casi di cui ai commi 1, 2 e 3, la conferenza di servizi si esprime allo stato degli atti a sua disposizione e
le indicazioni fornite in tale sede possono essere motivatamente modificate o integrate solo in presenza di
significativi elementi emersi nelle fasi successive del procedimento, anche a seguito delle osservazioni dei
privati sul progetto definitivo.
5. Nel caso di cui al comma 2, il responsabile unico del procedimento trasmette alle amministrazioni
interessate il progetto definitivo, redatto sulla base delle condizioni indicate dalle stesse amministrazioni in
sede di conferenza di servizi sul progetto preliminare, e convoca la conferenza tra il trentesimo e il
sessantesimo giorno successivi alla trasmissione. In caso di affidamento mediante appalto concorso o
concessione di lavori pubblici, l’amministrazione aggiudicatrice convoca la conferenza di servizi sulla base
del solo progetto preliminare, secondo quanto previsto dalla legge 11 febbraio 1994, n. 109, e successive
modificazioni. (ora d.lgs. n. 163 del 2006 - n.d.r.)"
14-ter,Lavori della conferenza di servizi,"(articolo già sostituito dall'art. 11 della legge n. 340 del 2000)
01. La prima riunione della conferenza di servizi è convocata entro quindici giorni ovvero, in caso di
particolare complessità dell'istruttoria, entro trenta giorni dalla data di indizione.
(comma introdotto dall'art. 10, comma 1, lettera a), legge n. 15 del 2005)
1. La conferenza di servizi assume le determinazioni relative all’organizzazione dei propri lavori a
maggioranza dei presenti e può svolgersi per via telematica.
(comma così modificato dall'art. 9, comma 1, legge n. 69 del 2009)
2. La convocazione della prima riunione della conferenza di servizi deve pervenire alle amministrazioni
interessate, anche per via telematica o informatica, almeno cinque giorni prima della relativa data. Entro i
successivi cinque giorni, le amministrazioni convocate possono richiedere, qualora impossibilitate a
partecipare, l’effettuazione della riunione in una diversa data; in tale caso, l’amministrazione procedente
concorda una nuova data, comunque entro i dieci giorni successivi alla prima. La nuova data della riunione
può essere fissata entro i quindici giorni successivi nel caso la richiesta provenga da un'autorità preposta
alla tutela del patrimonio culturale. I responsabili degli sportelli unici per le attività produttive e per
l'edilizia, ove costituiti, o i Comuni concordano con i Soprintendenti territorialmente competenti il
calendario, almeno trimestrale, delle riunioni delle conferenze di servizi che coinvolgano atti di assenso o
consultivi comunque denominati di competenza del Ministero per i beni e le attività culturali.
(comma così modificato dall'art. 10, comma 1, lettera b), legge n. 15 del 2005, poi dall'art. 49, comma 2,
legge n. 122 del 2010)
2-bis. Alla conferenza di servizi di cui agli articoli 14 e 14-bis sono convocati i soggetti proponenti il progetto
dedotto in conferenza, alla quale gli stessi partecipano senza diritto di voto.
(comma aggiunto dall'art. 9, comma 2, legge n. 69 del 2009)
2-ter. Alla conferenza possono partecipare, senza diritto di voto, i concessionari e i gestori di pubblici
servizi, nel caso in cui il procedimento amministrativo o il progetto dedotto in conferenza implichi loro
adempimenti ovvero abbia effetto diretto o indiretto sulla loro attività. Agli stessi è inviata, anche per via
telematica e con congruo anticipo, comunicazione della convocazione della conferenza di servizi. Alla
conferenza possono partecipare inoltre, senza diritto di voto, le amministrazioni preposte alla gestione
delle eventuali misure pubbliche di agevolazione.
(comma aggiunto dall'art. 9, comma 2, legge n. 69 del 2009)
3. Nella prima riunione della conferenza di servizi, o comunque in quella immediatamente successiva alla
trasmissione dell’istanza o del progetto definitivo ai sensi dell’articolo 14-bis, le amministrazioni che vi
partecipano determinano il termine per l’adozione della decisione conclusiva. I lavori della conferenza non
possono superare i novanta giorni, salvo quanto previsto dal comma 4. Decorsi inutilmente tali termini,
l’amministrazione procedente provvede ai sensi dei commi 6-bis e 9 del presente articolo.
(comma così modificato dall'art. 10, comma 1, lettera c), legge n. 15 del 2005)
3-bis. In caso di opera o attività sottoposta anche ad autorizzazione paesaggistica, il soprintendente si
esprime, in via definitiva, in sede di conferenza di servizi, ove convocata, in ordine a tutti i provvedimenti di
sua competenza ai sensi del decreto legislativo 22 gennaio 2004, 42.
(comma introdotto dall'art. 49, comma 2, legge n. 122 del 2010)
4. Fermo restando quanto disposto dal comma 4-bis, nei casi in cui sia richiesta la VIA, la conferenza di
servizi si esprime dopo aver acquisito la valutazione medesima ed il termine di cui al comma 3 resta
sospeso, per un massimo di novanta giorni, fino all'acquisizione della pronuncia sulla compatibilità
ambientale. Se la VIA non interviene nel termine previsto per l’adozione del relativo provvedimento,
l’amministrazione competente si esprime in sede di conferenza di servizi, la quale si conclude nei trenta
giorni successivi al termine predetto. Tuttavia, a richiesta della maggioranza dei soggetti partecipanti alla
conferenza di servizi, il termine di trenta giorni di cui al precedente periodo è prorogato di altri trenta giorni
nel caso che si appalesi la necessità di approfondimenti istruttori. Per assicurare il rispetto dei tempi,
l’amministrazione competente al rilascio dei provvedimenti in materia ambientale può far eseguire anche
da altri organi dell’amministrazione pubblica o enti pubblici dotati di qualificazione e capacità tecnica
equipollenti, ovvero da istituti universitari tutte le attività tecnico-istruttorie non ancora eseguite. In tal
caso gli oneri economici diretti o indiretti sono posti a esclusivo carico del soggetto committente il
progetto, secondo le tabelle approvate con decreto del Ministro dell’ambiente e della tutela del territorio e
del mare, di concerto con il Ministro dell’economia e delle finanze.
(comma così modificato dall'art. 10, comma 1, lettera d), legge n. 15 del 2005, poi dall'art. 49, comma 2,
legge n. 122 del 2010)
4-bis. Nei casi in cui l'intervento oggetto della conferenza di servizi è stato sottoposto positivamente a
valutazione ambientale strategica (VAS), i relativi risultati e prescrizioni, ivi compresi gli adempimenti di cui
ai commi 4 e 5 dell'articolo 10 del decreto legislativo 3 aprile 2006, n. 152, devono essere utilizzati, senza
modificazioni, ai fini della VIA, qualora effettuata nella medesima sede, statale o regionale, ai sensi
dell'articolo 7 del decreto legislativo 3 aprile 2006, n. 152.
(comma introdotto dall'art. 49, comma 2, legge n. 122 del 2010)
5. Nei procedimenti relativamente ai quali sia già intervenuta la decisione concernente la VIA le disposizioni
di cui al comma 3 dell’articolo 14-quater, nonché quelle di cui agli articoli 16, comma 3, e 17, comma 2, si
applicano alle sole amministrazioni preposte alla tutela della salute, del patrimonio storico-artistico e della
pubblica incolumità.
(comma così modificato dall'art. 10, comma 1, lettera e), legge n. 15 del 2005)
6. Ogni amministrazione convocata partecipa alla conferenza di servizi attraverso un unico rappresentante
legittimato, dall’organo competente, ad esprimere in modo vincolante la volontà dell’amministrazione su
tutte le decisioni di competenza della stessa.
6-bis. All'esito dei lavori della conferenza, e in ogni caso scaduto il termine di cui ai commi 3 e 4,
l'amministrazione procedente, in caso di VIA statale, può adire direttamente il consiglio dei ministri ai sensi
dell'articolo 26, comma 2, del decreto legislativo 30 aprile 2006, n. 152; in tutti gli altri casi, valutate le
specifiche risultanze della conferenza e tenendo conto delle posizioni prevalenti espresse in quella sede,
adotta la determinazione motivata di conclusione del procedimento che sostituisce a tutti gli effetti, ogni
autorizzazione, concessione, nulla osta o atto di assenso comunque denominato di competenza delle
amministrazioni partecipanti, o comunque invitate a partecipare ma risultate assenti, alla predetta
conferenza. La mancata partecipazione alla conferenza di servizi ovvero la ritardata o mancata adozione
della determinazione motivata di conclusione del procedimento sono valutate ai fini della responsabilità
dirigenziale o disciplinare e amministrativa, nonché ai fini dell'attribuzione della retribuzione di risultato.
Resta salvo il diritto del privato di dimostrare il danno derivante dalla mancata osservanza del termine di
conclusione del procedimento ai sensi degli articoli 2 e 2-bis.
(comma così sostituito dall'art. 49, comma 2, legge n. 122 del 2010)
7. Si considera acquisito l'assenso dell'amministrazione, ivi comprese quelle preposte alla tutela della salute
e della pubblica incolumità, alla tutela paesaggistico-territoriale e alla tutela ambientale, esclusi i
provvedimenti in materia di VIA, VAS e AIA, il cui rappresentante, all'esito dei lavori della conferenza, non
abbia espresso definitivamente la volontà dell'amministrazione rappresentata.
(comma così sostituito dall'art. 49, comma 2, legge n. 122 del 2010)
8. In sede di conferenza di servizi possono essere richiesti, per una sola volta, ai proponenti dell’istanza o ai
progettisti chiarimenti o ulteriore documentazione. Se questi ultimi non sono forniti in detta sede, entro i
successivi trenta giorni, si procede all’esame del provvedimento.
8-bis. I termini di validità di tutti i pareri, autorizzazioni, concessioni, nulla osta o atti di assenso comunque
denominati acquisiti nell'ambito della Conferenza di Servizi, decorrono a far data dall'adozione del
provvedimento finale.
(comma introdotto dall'art. 25, comma 1, lettera a), legge n. 164 del 2014)
9. (comma abrogato dall'art. 49, comma 2, legge n. 122 del 2010)
10. Il provvedimento finale concernente opere sottoposte a VIA è pubblicato, a cura del proponente,
unitamente all’estratto della predetta VIA, nella Gazzetta Ufficiale o nel Bollettino regionale in caso di VIA
regionale e in un quotidiano a diffusione nazionale. Dalla data della pubblicazione nella Gazzetta Ufficiale
decorrono i termini per eventuali impugnazioni in sede giurisdizionale da parte dei soggetti interessati."
14-quater,Effetti del dissenso espresso nella conferenza di servizi,"(articolo già sostituito dall'art. 12 della legge n. 340 del 2000)
1. Il dissenso di uno o più rappresentanti delle amministrazioni ivi comprese quelle preposte alla tutela
ambientale, fermo restando quanto previsto dall'articolo 26 del decreto legislativo 3 aprile 2006, n. 152,
paesaggistico-territoriale, del patrimonio storico-artistico o alla tutela della salute e della pubblica
incolumità, regolarmente convocate alla conferenza di servizi, a pena di inammissibilità, deve essere
manifestato nella conferenza di servizi, deve essere congruamente motivato, non può riferirsi a questioni
connesse che non costituiscono oggetto della conferenza medesima e deve recare le specifiche indicazioni
delle modifiche progettuali necessarie ai fini dell’assenso.
(comma così modificato dall'art. 49, comma 3, legge n. 122 del 2010)
2. (abrogato dall'art. 11, comma 1, lettera a), legge n. 15 del 2005)
3. Al di fuori dei casi di cui all'articolo 117, ottavo comma, della Costituzione, e delle infrastrutture ed
insediamenti produttivi strategici e di preminente interesse nazionale, di cui alla parte seconda, titolo terzo,
capo quarto del decreto legislativo 12 aprile 2006, n. 163, e successive modificazioni, nonché dei casi di
localizzazione delle opere di interesse statale, ove venga espresso motivato dissenso da parte di
un'amministrazione preposta alla tutela ambientale, paesaggistico-territoriale, del patrimonio storico-
artistico o alla tutela della salute e della pubblica incolumità, la questione, in attuazione e nel rispetto del
principio di leale collaborazione e dell'articolo 120 della Costituzione, è rimessa dall'amministrazione
procedente alla deliberazione del Consiglio dei Ministri, che ha natura di atto di alta amministrazione. Il
Consiglio dei Ministri si pronuncia entro sessanta giorni, previa intesa con la Regione o le Regioni e le
Province autonome interessate, in caso di dissenso tra un'amministrazione statale e una regionale o tra più
amministrazioni regionali, ovvero previa intesa con la Regione e gli enti locali interessati, in caso di dissenso
tra un'amministrazione statale o regionale e un ente locale o tra più enti locali, motivando un'eventuale
decisione in contrasto con il motivato dissenso. Se l'intesa non è raggiunta entro trenta giorni, la
deliberazione del Consiglio dei ministri può essere comunque adottata. Se il motivato dissenso è espresso
da una regione o da una provincia autonoma in una delle materie di propria competenza, ai fini del
raggiungimento dell'intesa, entro trenta giorni dalla data di rimessione della questione alla delibera del
Consiglio dei Ministri, viene indetta una riunione dalla Presidenza del Consiglio dei Ministri con la
partecipazione della regione o della provincia autonoma, degli enti locali e delle amministrazioni
interessate, attraverso un unico rappresentante legittimato, dall'organo competente, ad esprimere in
modo vincolante la volontà dell'amministrazione sulle decisioni di competenza. In tale riunione i
partecipanti debbono formulare le specifiche indicazioni necessarie alla individuazione di una soluzione
condivisa, anche volta a modificare il progetto originario. Se l'intesa non è raggiunta nel termine di ulteriori
trenta giorni, è indetta una seconda riunione dalla Presidenza del Consiglio dei Ministri con le medesime
modalità della prima, per concordare interventi di mediazione, valutando anche le soluzioni progettuali
alternative a quella originaria. Ove non sia comunque raggiunta l'intesa, in un ulteriore termine di trenta
giorni, le trattative, con le medesime modalità delle precedenti fasi, sono finalizzate a risolvere e comunque
a individuare i punti di dissenso. Se all'esito delle predette trattative l'intesa non è raggiunta, la
deliberazione del Consiglio dei Ministri può essere comunque adottata con la partecipazione dei Presidenti
delle regioni o delle province autonome interessate.
(comma sostituito dall'art. 49, comma 3, legge n. 122 del 2010, poi modificato dall'art. 5, comma 2, lettera
b), legge n. 106 del 2011, poi dall'art. 33-octies, comma 1, legge n. 221 del 2012, poi dall'art. 25, comma 1,
lettera b), legge n. 164 del 2014)
3-bis. 3-ter. 3-quater. (commi soppressi dall'art. 49, comma 3, legge n. 122 del 2010)
3-quinquies. Restano ferme le attribuzioni e le prerogative riconosciute alle regioni a statuto speciale e alle
province autonome di Trento e di Bolzano dagli statuti speciali di autonomia e dalle relative norme di
attuazione
(comma introdotto dall'art. 11, comma 1, lettera b), legge n. 15 del 2005)
4. (abrogato dall'art. 11, comma 1, lettera c), legge n. 15 del 2005)
5. Nell’ipotesi in cui l’opera sia sottoposta a VIA e in caso di provvedimento negativo trova applicazione
l’articolo 5, comma 2, lettera c-bis), della legge 23 agosto 1988, n. 400, introdotta dall’articolo 12, comma
2, del decreto legislativo 30 luglio 1999, n. 303."
14-quinquies,Conferenza di servizi in materia di finanza di progetto,"(introdotto dall'art. 12 della legge n. 15 del 2005)
1. Nelle ipotesi di conferenza di servizi finalizzata all'approvazione del progetto definitivo in relazione alla
quale trovino applicazione le procedure di cui agli articoli 37-bis e seguenti della legge 11 febbraio 1994, n.
109, (ora articolo 153 del d.lgs. n. 163 del 2006 - n.d.r.) sono convocati alla conferenza, senza diritto di voto,
anche i soggetti aggiudicatari di concessione individuati all'esito della procedura di cui all'articolo 37-quater
della legge n. 109 del 1994, ovvero le società di progetto di cui all'articolo 37-quinquies della medesima
legge."
15,Accordi fra pubbliche amministrazioni,"1. Anche al di fuori delle ipotesi previste dall’articolo 14, le amministrazioni pubbliche possono sempre
concludere tra loro accordi per disciplinare lo svolgimento in collaborazione di attività di interesse comune.
2. Per detti accordi si osservano, in quanto applicabili, le disposizioni previste dall’articolo 11, commi 2 e 3.
(comma così modificato dall'Allegato 4, art. 3, comma 2, d.lgs. n. 104 del 2010)
2-bis. A fare data dal 30 giugno 2014 gli accordi di cui al comma 1 sono sottoscritti con firma digitale, ai
sensi dell'articolo 24 del decreto legislativo 7 marzo 2005, n. 82, con firma elettronica avanzata, ai sensi
dell'articolo 1, comma 1, lettera q-bis) del decreto legislativo 7 marzo 2005, n. 82, o con altra firma
elettronica qualificata pena la nullità degli stessi. Dall'attuazione della presente disposizione non devono
derivare nuovi o maggiori oneri a carico del bilancio dello Stato. All'attuazione della medesima si provvede
nell'ambito delle risorse umane, strumentali e finanziarie previste dalia legislazione vigente.
(comma aggiunto dall'art. 6, comma 2, legge n. 221 del 2012, poi così modificato dall'art. 6, comma 5, legge
n. 9 del 2014)"
16,Attività consultiva,"1. Gli organi consultivi delle pubbliche amministrazioni di cui all’articolo 1, comma 2, del decreto legislativo
3 febbraio 1993, n. 29, (ora articolo 1 del d.lgs. n. 165 del 2001 - n.d.r.) sono tenuti a rendere i pareri ad essi
obbligatoriamente richiesti entro venti giorni dal ricevimento della richiesta. Qualora siano richiesti di
pareri facoltativi, sono tenuti a dare immediata comunicazione alle amministrazioni richiedenti del termine
entro il quale il parere sarà reso, che comunque non può superare i venti giorni dal ricevimento della
richiesta.
(comma così modificato dall'art. 8, comma 1, legge n. 69 del 2009)
2. In caso di decorrenza del termine senza che sia stato comunicato il parere obbligatorio o senza che
l’organo adito abbia rappresentato esigenze istruttorie, è in facoltà dell’amministrazione richiedente di
procedere indipendentemente dall’espressione del parere. In caso di decorrenza del termine senza che sia
stato comunicato il parere facoltativo o senza che l’organo adito abbia rappresentato esigenze istruttorie,
l’amministrazione richiedente procede indipendentemente dall’espressione del parere. Salvo il caso di
omessa richiesta del parere, il responsabile del procedimento non può essere chiamato a rispondere degli
eventuali danni derivanti dalla mancata espressione dei pareri di cui al presente comma.
(comma così sostituito dall'art. 8, comma 1, legge n. 69 del 2009)
3. Le disposizioni di cui ai commi 1 e 2 non si applicano in caso di pareri che debbano essere rilasciati da
amministrazioni preposte alla tutela ambientale, paesaggistica, territoriale e della salute dei cittadini.
4. Nel caso in cui l'organo adito abbia rappresentato esigenze istruttorie i termini di cui al comma 1
possono essere interrotti per una sola volta e il parere deve essere reso definitivamente entro quindici
giorni dalla ricezione degli elementi istruttori da parte delle amministrazioni interessate.
(comma così modificato dall'art. 8, comma 1, legge n. 69 del 2009)
5. I pareri di cui al comma 1 sono trasmessi con mezzi telematici.
(comma così sostituito dall'art. 8, comma 1, legge n. 69 del 2009)
6. Gli organi consultivi dello Stato predispongono procedure di particolare urgenza per l’adozione dei pareri
loro richiesti.
6-bis. Resta fermo quanto previsto dall’articolo 127 del codice dei contratti pubblici relativi a lavori, servizi
e forniture, di cui al decreto legislativo 12 aprile 2006, n. 163, e successive modificazioni.
(comma aggiunto dall'art. 8, comma 1, legge n. 69 del 2009)"
17,Valutazioni tecniche,"1. Ove per disposizione espressa di legge o di regolamento sia previsto che per l’adozione di un
provvedimento debbano essere preventivamente acquisite le valutazioni tecniche di organi od enti appositi
e tali organi ed enti non provvedano o non rappresentino esigenze istruttorie di competenza
dell’amministrazione procedente nei termini prefissati dalla disposizione stessa o, in mancanza, entro
novanta giorni dal ricevimento della richiesta, il responsabile del procedimento deve chiedere le suddette
valutazioni tecniche ad altri organi dell’amministrazione pubblica o ad enti pubblici che siano dotati di
qualificazione e capacità tecnica equipollenti, ovvero ad istituti universitari.
2. La disposizione di cui al comma 1 non si applica in caso di valutazioni che debbano essere prodotte da
amministrazioni preposte alla tutela ambientale, paesaggistico-territoriale e della salute dei cittadini.
3. Nel caso in cui l’ente od organo adito abbia rappresentato esigenze istruttorie all’amministrazione
procedente, si applica quanto previsto dal comma 4 dell’articolo 16."
